Timestamp,Се декларирам како:,Која алатка ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Првиот чекор при дизајн (prototyping/wireframing) ми започнува со:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дизајн е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/7/2019 15:03:36,Продукт дизајнер,Sketch,"фриленс, remote за странска компанија",Lead,120000,11 - 100,Mac,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Средно образование,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/7/2019 16:16:29,Графички дизајнер,Illustrator,во домашна компанија,Middle,31000,1-10,Mac,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Лошо напишана документација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 16:30:16,Графички дизајнер,Illustrator,во домашна компанија,Middle,48000,1-10,Windows,Таблет за цртање,"Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Компаниската култура, Можност за работа од дома (remote work), Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа",Не и не планирам,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,MOBING i perenje pari ....
2/7/2019 18:11:07,Графички дизајнер,Illustrator,во домашна компанија,Senior,20000,1-10,Windows,Illustrator,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,25-34,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,Ok
2/7/2019 21:23:32,Графички дизајнер,Illustrator,во домашна компанија,Senior,30000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 22:21:07,Графички дизајнер,InDesign,"самостоен вршител на дејност, занаетчија",Junior,20000,Само јас,Windows,InDesign,Недоволно информации за работната позиција,"Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/7/2019 22:37:55,Архитект,3ds Max,во домашна компанија,Senior,27000,1-10,Windows,Лист и хартија,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Веб страните на компаниите,Женски,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,5-10 години,
2/8/2019 0:00:46,Графички дизајнер,3ds Max,во домашна компанија,Middle,21000,1-10,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,"Лоша интерна организација, Несоодветен менаџмент за проектите",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/8/2019 0:08:42,Графички дизајнер,Illustrator,фриленс,Middle,6000,Само јас,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Одбивам проекти,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,18-24,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/8/2019 2:35:26,Веб дизајнер,Photoshop,во домашна компанија,Middle,27000,11 - 100,Windows,Photoshop,ништо конкретно не ми пречи ,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/8/2019 7:06:28,Графички дизајнер,Photoshop,во домашна компанија,Middle,22000,1-10,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,Сѐ е со највисок приоритет (притисок при работа),"Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Социјални медиуми,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/8/2019 7:37:30,Графички дизајнер,Illustrator,во домашна компанија,Senior,33000,1-10,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/8/2019 8:12:51,Графички дизајнер,Illustrator,во домашна компанија,Middle,34500,11 - 100,Mac,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Профилот и искуството на другите вработени во тимот","Сѐ е со највисок приоритет (притисок при работа), Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",16-20 години,
2/8/2019 8:14:47,UI/UX Designer,Photoshop,во претставништво на странска компанија во Македонија,Middle,49000,11 - 100,Windows,Photoshop,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/8/2019 9:54:56,Продукт дизајнер,Adobe XD,во домашна компанија,Lead,90000,11 - 100,Mac,Лист и хартија,Ништо,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот",Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,5-10 години,
2/8/2019 10:04:37,Графички дизајнер,Illustrator,фриленс,Middle,30000,11 - 100,Windows,Illustrator,Недоволно информации за работната позиција,"Можност за учење и развој, Плата и бонуси, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/8/2019 10:24:02,Графички дизајнер,InDesign,во домашна компанија,Senior,30000,11 - 100,Windows,InDesign,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени постдипломски студии,Пракса во компанија или печатница,помалку од 5,
2/8/2019 10:34:53,Графички дизајнер,Photoshop,во претставништво на странска компанија во Македонија,Middle,28000,11 - 100,Windows,Лист и хартија,"Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата",Лошо дефинирани работни обврски,Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/8/2019 11:34:38,Графички дизајнер,Photoshop и Illustrator подеднакво,во домашна компанија,Senior,42000,1-10,Windows,Таблет за цртање,"Сакаат да вработат дизајнер до искуство, а на истиот му бараат бесплатен дизајн пред да почне да работи. Мислам дека кај дизајнерите со искуство тој дизајн треба да е платен.","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси","Лошо напишана документација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Кога барам гледам на сите места ,Женски,35-44,Завршени постдипломски студии,Пракса во компанија или печатница,11-15 години,
2/8/2019 11:57:00,Графички дизајнер,Photoshop,фриленс,Lead,50000,1-10,Windows,Photoshop,Долг и бавен процес на интервјуирање,"Можност за учење и развој, Плата и бонуси, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/8/2019 12:42:14,Графички дизајнер,InDesign,фриленс,Senior,50000,Само јас,Windows,Лист и хартија,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,45-54,Средно образование,Пракса во компанија или печатница,повеќе од 20 години,
2/8/2019 13:39:24,Графички дизајнер,Photoshop,remote за странска компанија,Junior,24632,1-10,Windows,Photoshop,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој",Лошо дефинирани работни обврски,"Наоѓам друга работа, па тогаш давам отказ",Да,IT.mk и IT.mk/Kariera,Женски,18-24,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/8/2019 14:00:00,Веб дизајнер,Illustrator,во домашна компанија,Middle,35000,11 - 100,Windows,Illustrator,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/8/2019 14:11:34,Графички дизајнер,Photoshop,во домашна компанија,Middle,26000,1-10,Windows,Research,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Низ целиот интернет,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/8/2019 14:30:11,Генерален Менаџер,Illustrator,во претставништво на странска компанија во Македонија,Senior,96000,1-10,Windows,Лист и хартија,"Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,5-10 години,Воведете функции и за менаџментот во компаниите. Поздрав
2/8/2019 18:41:09,Графички дизајнер,Photoshop,"фриленс, Во странство",Senior,210,Само јас,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,Во првите делови од анкетата наведено е што се бара при работа во компанија во кпја работиш. Во Македонија ако си дизајнер си и пхп програмер. Веб дизајнер. 3д дизајнер. Видео графики буквално се бараат од тебе. Така да треба да има дозволено повеќе опции што би можеле да се бираат. Имам 3 години искуство во македонски водечки компании за адвертајзинг и меверморе додека работат со тие политики. 
2/8/2019 23:19:09,Графички дизајнер,InDesign,во претставништво на странска компанија во Македонија,Senior,60000,101 - 500,Windows,InDesign,Нетранспарентност во процесот на одредување на платата,Компаниската култура,Несоодветен менаџмент за проектите,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/8/2019 23:29:42,Графички дизајнер,Illustrator,фриленс,freelance,70000,Само јас,Windows,пребарување вектори.,Фактот дека продавачи имаат повисока плата од графички дизајнери во лајнарников од држава. Работење за себе е нешто незаменливо,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Не барам работа во мк.","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Несоодветен менаџмент за проектите",Одбивам проекти,Не и не планирам,upwork,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,"Со завршен економски како практикант одев 6 месеци за 100 евра месечно во BDO - милијардерска компанија. Како самоук графички дизајнер со години искуство ми понудија плата во печатница - 15,000. Знаете кој добива 15,000? - Продавачи на бурек, па и тие повеќе земаат. Пола држава од непотребна и неспособна администрација се богати на наша сметка од данокот што го плаќаме а другата половина се богатат давајќи мизерни плати. Во Индија во моментов има поголеми услови од тука.

На Upwork од кога почнав да работам за себеси, успеав да се спасам од гомнава тука. Бонуси клиенти даваат од 20 до 150 долари за проект кој го платиле 100-200$ бидејќи биле презадоволни и те ценат, за разлика од тука што сите 24 саати гледаат како да те платат помалку и да ти ја смалат вредноста како човек. На Upwork 1 клиент само колку што плати бонус од 150$ за 1 проект од неколку саати е повеќе од тука што 9 до 11 саати што киснев секој ден во BDO (никогаш под 9 саати) за 100 мочани евра со ветување дека ќе имаше вработување после 6-те месеци, па сега видете каде е разликата. 

Со Upwork си ја вратив стабилноста во животот и имам повеќе од што можам да потрошам. Чесно си заработувам, клиенти ја ценат работата, имам повеќе време за себеси и усовршување на моите знаења а и не сум под стрес 24 саати, ниту пак морам да му се правдам на некое менаџерче со комплекси. На Upwork си го проширив кругот на контакти низ цел свет и знам како треба да се прави бизнис. Во гомнарскава држава СРМ нема никаква бизнис култура. 

Се надевам дека наскоро и ќе можам да си отидам од тука, главно поради тоа што таму ќе бидам подобра личност и ќе го имам животот за кој што се борам без никој да ми го скратува тоа право за личен профит. Имам и листа од 167 cons со 24 pros за местово во глобала, не само за бизнис. До ТОЛКУ е дојдено :) "
2/9/2019 0:36:33,Графички дизајнер,Illustrator,remote за странска компанија,Senior,43000,1-10,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Upwork,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/9/2019 12:21:58,Графички дизајнер,Illustrator,во домашна компанија,Senior,21000,1-10,Windows,Лист и хартија,Долг и бавен процес на интервјуирање,Плата и бонуси,"Лоша интерна организација, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа",Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/9/2019 19:00:27,Веб и графички дизајнер,Illustrator,фриленс,Middle,6000,Само јас,Windows,Лист и хартија,Долг и бавен процес на интервјуирање,"Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/9/2019 19:42:50,Графички дизајнер,Illustrator,во домашна компанија,Senior,25000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Не и не планирам,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во компанија или печатница,5-10 години,
2/9/2019 19:49:15,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Senior,50,11 - 100,Windows,Лист и хартија,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/9/2019 20:43:17,Графички дизајнер,Photoshop,во домашна компанија,Junior,22000,11 - 100,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/9/2019 22:37:51,Арт или креативен директор,Illustrator,"во домашна компанија, фриленс",Lead,100000,1-10,Windows,Sketch,Немање доволно информации за компанијата,"Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,You Go Girl.
2/9/2019 22:44:17,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Middle,22000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Тренинзи и обуки",Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/9/2019 23:36:51,Графички дизајнер,Photoshop,"во домашна компанија, во претставништво на странска компанија во Македонија, фриленс",Senior,80000,Само јас,Windows,Таблет за цртање,Долг и бавен процес на интервјуирање,"Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",16-20 години,
